Metric,Period type,Period,Policy type,Issue,Task type,Task,Location,Market,Result
Category share,Quarterly,Oct-Dec 2023,Policy,Regulated Goods & Commercial Activities,All,All,Market,Algeria,0.24
Category share,Quarterly,Oct-Dec 2023,Policy,Regulated Goods & Commercial Activities,All,All,Market,Thailand,0.4429999999999999
Category share,Quarterly,Oct-Dec 2023,Policy,Sensitive & Mature Themes,All,All,Market,Brazil,0.465
Category share,Quarterly,Oct-Dec 2023,Policy,Sensitive & Mature Themes,All,All,Market,Cambodia,0.296
Category share,Quarterly,Oct-Dec 2023,Policy,Sensitive & Mature Themes,All,All,Market,Nigeria,0.285
Category share,Quarterly,Oct-Dec 2023,Policy,Sensitive & Mature Themes,All,All,Market,United Kingdom,0.391
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Civic & Election Integrity,All,All,Market,Nepal,0.111
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Misinformation,All,All,Market,Turkey,0.317
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Suicide & Self-Harm,All,All,Market,Egypt,0.026
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Brazil,1.0
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Nigeria,1.0
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Gambling,All,All,Market,Laos,0.032
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Gambling,All,All,Market,Saudi Arabia,0.002
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sexual Exploitation & Gender-Based Violence,All,All,Market,Algeria,0.02
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sexual Exploitation & Gender-Based Violence,All,All,Market,Malaysia,0.021
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sexual Exploitation & Gender-Based Violence,All,All,Market,Thailand,0.037
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,Somalia,0.255
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,Ukraine,0.008
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Nudity & Body Exposure,All,All,Market,Romania,0.2339999999999999
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexual Activity & Services,All,All,Market,Israel,0.039
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Brazil,0.358
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Shocking & Graphic Content,All,All,Market,United Arab Emirates,0.5539999999999999
Proactive removal rate,Quarterly,Oct-Dec 2023,All,All,All,All,Market,Pakistan,0.991
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Integrity & Authenticity,All,All,Market,Ukraine,0.84
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Mental & Behavioral Health,All,All,Market,Turkey,0.997
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Regulated Goods & Commercial Activities,All,All,Market,Colombia,0.98
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Regulated Goods & Commercial Activities,All,All,Market,Singapore,0.8759999999999999
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Safety & Civility,All,All,Market,Lebanon,0.985
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Safety & Civility,All,All,Market,Libya,0.981
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Sensitive & Mature Themes,All,All,Market,Vietnam,0.97
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Misinformation,All,All,Market,Argentina,0.987
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Misinformation,All,All,Market,Ecuador,0.991
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Suicide & Self-Harm,All,All,Market,Australia,0.957
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Somalia,0.998
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Ukraine,0.63
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Trade of Regulated Goods & Services,All,All,Market,South Africa,0.951
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Harassment & Bullying,All,All,Market,Turkey,0.954
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Hate Speech & Hateful Behavior,All,All,Market,Lebanon,0.973
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Sexual Exploitation & Gender-Based Violence,All,All,Market,Singapore,0.735
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexual Activity & Services,All,All,Market,Romania,0.868
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Somalia,0.973
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Ukraine,0.521
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Shocking & Graphic Content,All,All,Market,France,0.966
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,"Youth Safety & Well-Being - Alcohol, Tobacco & Drugs",All,All,Market,Myanmar,0.999
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,"Youth Safety & Well-Being - Alcohol, Tobacco & Drugs",All,All,Market,United Arab Emirates,0.933
Removal rate before any views,Quarterly,Oct-Dec 2023,Policy,Integrity & Authenticity,All,All,Market,Morocco,0.851
Removal rate before any views,Quarterly,Oct-Dec 2023,Policy,Privacy & Security,All,All,Market,Cambodia,0.489
Removal rate before any views,Quarterly,Oct-Dec 2023,Policy,Privacy & Security,All,All,Market,South Korea,0.503
Removal rate before any views,Quarterly,Oct-Dec 2023,Policy,Youth Safety & Well-Being,All,All,Market,Egypt,0.1369999999999999
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Philippines,0.595
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Unoriginal Content & QR Codes,All,All,Market,Italy,0.987
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Dangerous Activities & Challenges,All,All,Market,Pakistan,0.736
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Dangerous Activities & Challenges,All,All,Market,Saudi Arabia,0.94
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Suicide & Self-Harm,All,All,Market,Pakistan,0.831
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Suicide & Self-Harm,All,All,Market,Somalia,0.825
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,"Regulated Goods & Commercial Activities - Alcohol, Tobacco & Drugs",All,All,Market,Brazil,0.622
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,"Regulated Goods & Commercial Activities - Alcohol, Tobacco & Drugs",All,All,Market,Cambodia,0.902
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,"Regulated Goods & Commercial Activities - Alcohol, Tobacco & Drugs",All,All,Market,United Kingdom,0.7859999999999999
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Firearms & Dangerous Weapons,All,All,All,All,0.912
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Frauds & Scams,All,All,Market,Vietnam,0.8079999999999999
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Harassment & Bullying,All,All,Market,Kazakhstan,0.845
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Hate Speech & Hateful Behavior,All,All,Market,United Arab Emirates,0.627
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sexual Exploitation & Gender-Based Violence,All,All,Market,Netherlands,0.303
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,Algeria,0.609
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,Israel,0.6970000000000001
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,Thailand,0.522
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent Behaviors & Criminal Activities,All,All,Market,Germany,0.3339999999999999
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Youth Exploitation & Abuse,All,All,Market,Colombia,0.92
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Youth Exploitation & Abuse,All,All,Market,Singapore,0.905
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Animal Abuse,All,All,Market,Argentina,0.637
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Animal Abuse,All,All,Market,Ecuador,0.916
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Animal Abuse,All,All,Market,Philippines,0.947
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexual Activity & Services,All,All,Market,Mexico,0.406
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Libya,0.59
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Morocco,0.569
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Nudity & Body Exposure,All,All,Market,Nepal,0.303
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Youth Exploitation & Abuse,All,All,Market,Argentina,0.583
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Youth Exploitation & Abuse,All,All,Market,Italy,0.53
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Youth Exploitation & Abuse,All,All,Market,Philippines,0.894
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,All,All,All,All,Market,Argentina,0.8370000000000001
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Integrity & Authenticity,All,All,Market,Italy,0.975
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Mental & Behavioral Health,All,All,Market,Taiwan,0.861
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Privacy & Security,All,All,Market,Algeria,0.973
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Privacy & Security,All,All,Market,Malaysia,0.957
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Regulated Goods & Commercial Activities,All,All,Market,South Korea,0.5820000000000001
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Safety & Civility,All,All,Market,Laos,0.929
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Safety & Civility,All,All,Market,Saudi Arabia,0.858
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Sensitive & Mature Themes,All,All,Market,Australia,0.922
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Sensitive & Mature Themes,All,All,Market,Germany,0.861
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Youth Safety & Well-Being,All,All,Market,Iraq,0.7090000000000001
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Youth Safety & Well-Being,All,All,Market,Poland,0.868
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Youth Safety & Well-Being,All,All,Market,Spain,0.828
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Indonesia,0.846
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Misinformation,All,All,Market,Japan,0.7020000000000001
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Unoriginal Content & QR Codes,All,All,Market,Bangladesh,0.993
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Unoriginal Content & QR Codes,All,All,Market,Mexico,0.999
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Dangerous Activities & Challenges,All,All,Market,United Arab Emirates,0.989
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Argentina,0.948
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Ecuador,0.975
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Philippines,0.963
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Firearms & Dangerous Weapons,All,All,Market,Israel,0.955
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Frauds & Scams,All,All,Market,Canada,0.907
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Frauds & Scams,All,All,Market,United States,0.865
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Gambling,All,All,Market,Kazakhstan,0.809
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Trade of Regulated Goods & Services,All,All,Market,Ukraine,0.754
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Sexual Exploitation & Gender-Based Violence,All,All,Market,Libya,0.737
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,Brazil,0.748
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,United Kingdom,0.746
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Animal Abuse,All,All,Market,Peru,0.979
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexual Activity & Services,All,All,Market,South Africa,0.688
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Argentina,0.8009999999999999
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Ecuador,0.914
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Italy,0.732
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Philippines,0.848
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Nudity & Body Exposure,All,All,Market,Cambodia,0.867
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Nudity & Body Exposure,All,All,Market,United Kingdom,0.619
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Youth Exploitation & Abuse,All,All,Market,Indonesia,0.865
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Youth Exploitation & Abuse,All,All,Market,Mexico,0.698
Total videos removed,Quarterly,Oct-Dec 2023,All,All,task_type,Automation,Market,Argentina,585332.0
Total videos removed,Quarterly,Oct-Dec 2023,All,All,task_type,Automation,Market,Ecuador,528352.0
Total videos removed,Quarterly,Oct-Dec 2023,All,All,task_type,Automation,Market,Philippines,2599363.0
Video: Removal rate of published,Quarterly,Oct-Dec 2023,All,All,All,All,Market,Kazakhstan,0.008
Category share,Quarterly,Oct-Dec 2023,Policy,Mental & Behavioral Health,All,All,Market,Colombia,0.084
Category share,Quarterly,Oct-Dec 2023,Policy,Privacy & Security,All,All,Market,Pakistan,0.103
Category share,Quarterly,Oct-Dec 2023,Policy,Privacy & Security,All,All,Market,Somalia,0.063
Category share,Quarterly,Oct-Dec 2023,Policy,Privacy & Security,All,All,Market,Ukraine,0.076
Category share,Quarterly,Oct-Dec 2023,Policy,Regulated Goods & Commercial Activities,All,All,Market,Canada,0.4479999999999999
Category share,Quarterly,Oct-Dec 2023,Policy,Regulated Goods & Commercial Activities,All,All,Market,United States,0.456
Removal rate before any views,Quarterly,Oct-Dec 2023,Policy,Youth Safety & Well-Being,All,All,Market,Saudi Arabia,0.293
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Unoriginal Content & QR Codes,All,All,Market,United Arab Emirates,0.992
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Dangerous Activities & Challenges,All,All,Market,Argentina,0.473
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Dangerous Activities & Challenges,All,All,Market,Ecuador,0.868
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Dangerous Activities & Challenges,All,All,Market,Philippines,0.855
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Suicide & Self-Harm,All,All,Market,Germany,0.7979999999999999
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,"Regulated Goods & Commercial Activities - Alcohol, Tobacco & Drugs",All,All,Market,Morocco,0.897
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Frauds & Scams,All,All,Market,Israel,0.365
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Trade of Regulated Goods & Services,All,All,Market,South Korea,0.476
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Harassment & Bullying,All,All,Market,Mexico,0.432
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Hate Speech & Hateful Behavior,All,All,Market,Peru,0.8109999999999999
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Human Exploitation,All,All,Market,Kazakhstan,0.6629999999999999
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Nudity & Body Exposure,All,All,Market,Iraq,0.912
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Nudity & Body Exposure,All,All,Market,Poland,0.8009999999999999
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Nudity & Body Exposure,All,All,Market,Spain,0.7559999999999999
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexual Activity & Services,All,All,Market,Romania,0.445
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Shocking & Graphic Content,All,All,Market,Egypt,0.862
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Nudity & Body Exposure,All,All,Market,Netherlands,0.432
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Sexually Suggestive Content,All,All,Market,Thailand,0.452
Removal rate before any views,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Youth Exploitation & Abuse,All,All,Market,Myanmar,0.6459999999999999
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Integrity & Authenticity,All,All,Market,United Arab Emirates,0.873
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Policy,Mental & Behavioral Health,All,All,Market,South Africa,0.847
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Turkey,0.703
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Dangerous Activities & Challenges,All,All,Market,Peru,0.955
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,"Regulated Goods & Commercial Activities - Alcohol, Tobacco & Drugs",All,All,Market,Italy,0.933
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Frauds & Scams,All,All,Market,South Korea,0.244
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Gambling,All,All,Market,Mexico,0.763
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,Morocco,0.647
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent Behaviors & Criminal Activities,All,All,Market,France,0.684
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Youth Exploitation & Abuse,All,All,Market,Algeria,0.7829999999999999
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Youth Exploitation & Abuse,All,All,Market,Malaysia,0.7979999999999999
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Youth Exploitation & Abuse,All,All,Market,Thailand,0.969
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Sexually Suggestive Content,All,All,Market,Nigeria,0.747
Removal rate within 24 hours,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Youth Exploitation & Abuse,All,All,Market,Laos,0.85
Total videos removed,Quarterly,Oct-Dec 2023,All,All,All,All,Market,Taiwan,1112640.0
Video: Removal rate of published,Quarterly,Oct-Dec 2023,All,All,All,All,Market,Mexico,0.0069999999999999
Category share,Quarterly,Oct-Dec 2023,Policy,Mental & Behavioral Health,All,All,All,All,0.155
Category share,Quarterly,Oct-Dec 2023,Policy,Mental & Behavioral Health,All,All,Market,Taiwan,0.022
Category share,Quarterly,Oct-Dec 2023,Policy,Privacy & Security,All,All,Market,Germany,0.022
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Fake Engagement,All,All,Market,Indonesia,0.024
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Unoriginal Content & QR Codes,All,All,Market,Turkey,0.522
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Mental & Behavioral Health - Dangerous Activities & Challenges,All,All,Market,United Arab Emirates,0.975
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Argentina,1.0
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Ecuador,1.0
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Philippines,1.0
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Firearms & Dangerous Weapons,All,All,Market,Israel,0.8590000000000001
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Frauds & Scams,All,All,Market,Canada,0.5870000000000001
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Frauds & Scams,All,All,Market,United States,0.841
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Gambling,All,All,Market,Kazakhstan,0.0279999999999999
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Trade of Regulated Goods & Services,All,All,Market,Ukraine,0.011
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Harassment & Bullying,All,All,All,All,0.408
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sexual Exploitation & Gender-Based Violence,All,All,Market,Morocco,0.024
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,Brazil,0.019
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Youth Exploitation & Abuse,All,All,Market,Somalia,0.121
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexual Activity & Services,All,All,Market,South Africa,0.203
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Sensitive & Mature Themes - Sexually Suggestive Content,All,All,Market,Italy,0.092
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Nudity & Body Exposure,All,All,Market,Cambodia,0.127
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Nudity & Body Exposure,All,All,Market,South Korea,0.154
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Nudity & Body Exposure,All,All,Market,United Kingdom,0.237
Category share,Quarterly,Oct-Dec 2023,Sub-policy,Youth Safety & Well-Being - Youth Exploitation & Abuse,All,All,Market,Bangladesh,0.892
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Integrity & Authenticity,All,All,Market,Lebanon,0.981
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Integrity & Authenticity,All,All,Market,Libya,0.997
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Privacy & Security,All,All,Market,United States,0.967
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Regulated Goods & Commercial Activities,All,All,Market,Azerbaijan,0.978
Proactive removal rate,Quarterly,Oct-Dec 2023,Policy,Regulated Goods & Commercial Activities,All,All,Market,Israel,0.979
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Misinformation,All,All,Market,Bangladesh,0.993
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Unoriginal Content & QR Codes,All,All,Market,Argentina,0.999
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Integrity & Authenticity - Unoriginal Content & QR Codes,All,All,Market,Ecuador,0.998
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,Cambodia,0.998
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Privacy & Security - Personal Information,All,All,Market,United Kingdom,0.835
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,"Regulated Goods & Commercial Activities - Alcohol, Tobacco & Drugs",All,All,Market,Canada,0.954
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,"Regulated Goods & Commercial Activities - Alcohol, Tobacco & Drugs",All,All,Market,United States,0.983
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Regulated Goods & Commercial Activities - Gambling,All,All,Market,Saudi Arabia,0.987
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Sexual Exploitation & Gender-Based Violence,All,All,Market,Thailand,0.919
Proactive removal rate,Quarterly,Oct-Dec 2023,Sub-policy,Safety & Civility - Violent & Hateful Orgs & Individuals,All,All,Market,Nepal,0.972
